,City,Country,Latitude,Longitude,Temperature,Max Temperature,Min Temperature,Humidity,Cloudiness,Wind Speed
0,Coquimbo,CL,-29.9533,-71.3436,12.85,12.85,12.85,87,100,1.54
1,Bilma,NE,18.6853,12.9164,21.55,21.55,21.55,34,0,4.5
2,Kamina,CD,-8.7386,24.9906,17.06,17.06,17.06,96,87,1.38
3,Edd,ER,13.9297,41.6925,30.14,30.14,30.14,46,0,5.33
4,Karasburg,NA,-28.0167,18.75,20.0,20.0,20.0,42,4,1.99
5,Concepción de la Vega,DO,19.2221,-70.5296,24.6,24.6,23.88,96,31,1.34
6,Ponta do Sol,PT,32.6667,-17.1,19.41,20.56,18.4,81,76,2.17
7,Vallenar,CL,-28.5708,-70.7581,16.83,16.83,16.83,58,0,0.97
8,Nioro,GM,13.35,-15.75,23.07,23.07,23.07,90,0,1.41
9,Cidreira,BR,-30.1811,-50.2056,16.79,16.79,16.79,88,1,3.19
10,San Cristobal,VE,7.7669,-72.225,21.1,21.1,21.1,96,86,0.63
11,Vila Velha,BR,-20.3297,-40.2925,22.71,22.71,22.71,93,100,1.4
12,Nacala,MZ,-14.5428,40.6728,24.17,24.17,24.17,78,49,2.5
13,Matinha,BR,-3.1006,-45.0336,23.07,23.07,23.07,94,16,1.43
14,Santa Inês,BR,-3.6667,-45.38,22.87,22.87,22.87,94,12,1.47
15,Hualmay,PE,-11.0964,-77.6139,16.03,16.03,16.03,84,85,3.83
16,Escárcega,MX,18.6089,-90.7454,20.69,20.69,20.69,80,44,1.11
17,Krugersdorp,ZA,-26.0858,27.7752,13.63,15.35,13.49,85,25,2.48
18,Richards Bay,ZA,-28.783,32.0377,19.31,19.31,19.31,83,100,3.26
19,Inírida,CO,3.8653,-67.9239,24.21,24.21,24.21,95,91,1.44
20,Najrān,SA,17.4924,44.1277,16.36,16.36,16.36,24,0,1.02
21,Zemio,CF,5.0314,25.1361,20.91,20.91,20.91,97,100,1.06
22,Kasungu,MW,-13.0333,33.4833,21.29,21.29,21.29,44,46,5.13
23,Manaus,BR,-3.1019,-60.025,25.86,25.86,25.86,82,100,1.29
24,Takoradze,GH,4.8845,-1.7554,24.73,24.73,24.73,88,80,2.29
25,Arraial do Cabo,BR,-22.9661,-42.0278,21.75,21.75,21.75,87,88,6.22
26,Garoowe,SO,8.4054,48.4845,24.14,24.14,24.14,74,79,3.44
27,Tefé,BR,-3.3542,-64.7114,24.03,24.03,24.03,93,87,1.08
28,George Town,MY,5.4112,100.3354,28.25,28.97,27.91,77,40,3.09
29,São João da Barra,BR,-21.6403,-41.0511,22.14,22.14,22.14,88,100,4.87
30,Camaná,PE,-16.6228,-72.7111,17.12,17.12,17.12,80,1,3.87
31,Manicoré,BR,-5.8092,-61.3003,23.65,23.65,23.65,87,100,0.82
32,Tulum,MX,20.2167,-87.4667,20.06,20.06,20.06,79,0,2.53
33,Marabá,BR,-5.3686,-49.1178,22.55,22.55,22.55,96,31,0.29
34,Esim,GH,4.8699,-2.2405,24.88,24.88,24.88,86,76,2.23
35,Jamestown,US,42.097,-79.2353,9.8,16.77,7.23,71,0,3.09
36,Bathsheba,BB,13.2167,-59.5167,27.34,27.34,27.34,83,40,4.12
37,Biltine,TD,14.5333,20.9167,26.66,26.66,26.66,21,7,5.2
38,Inhambane,MZ,-23.865,35.3833,22.99,22.99,22.99,83,75,1.54
39,Salinópolis,BR,-0.6136,-47.3561,26.16,26.16,26.16,84,10,4.68
40,Santa Marta,CO,11.2408,-74.199,26.61,26.61,26.03,84,75,2.68
42,São Filipe,CV,14.8961,-24.4956,25.75,25.75,25.75,72,76,3.37
43,Bukama,CD,-9.2,25.85,23.55,23.55,23.55,72,97,1.09
44,Mórrope,PE,-6.5417,-80.0111,16.0,16.0,16.0,85,98,5.25
45,Boende,CD,-0.2167,20.8667,21.45,21.45,21.45,96,84,0.67
46,Parrita,CR,9.5201,-84.3225,24.67,24.67,24.67,90,71,1.87
47,Caravelas,BR,-17.7125,-39.2481,24.31,24.31,24.31,84,99,3.84
48,Lebu,CL,-37.6167,-73.65,8.29,8.29,8.29,86,100,1.78
50,Dakar,SN,14.6937,-17.4441,25.49,25.49,25.49,78,1,4.88
51,Lüderitz,NA,-26.6481,15.1594,14.49,14.49,14.49,84,27,6.31
53,Bonfim,BR,3.0833,-59.95,26.54,26.54,26.54,71,42,1.86
54,Pimentel,PE,-6.8367,-79.9342,16.15,16.15,16.15,86,100,5.5
55,Jalingo,NG,8.8833,11.3667,24.27,24.27,24.27,77,96,1.16
56,Kilindoni,TZ,-7.9139,39.6668,25.33,25.33,25.33,77,38,4.83
57,Trairi,BR,-3.2778,-39.2689,25.89,25.89,25.89,78,1,4.65
58,Arinos,BR,-15.9169,-46.1056,23.03,23.03,23.03,73,94,0.64
60,Paita,PE,-5.0892,-81.1144,16.68,16.68,16.68,87,93,5.18
62,Nazaré,BR,-13.035,-39.0144,22.12,22.12,22.12,97,34,0.89
63,Rundu,NA,-17.9333,19.7667,24.39,24.39,24.39,35,86,0.78
64,Mitú,CO,1.1983,-70.1733,23.26,23.26,23.26,94,89,0.55
65,Port-Gentil,GA,-0.7193,8.7815,25.06,25.06,25.06,87,100,1.72
66,Posadas,AR,-27.3671,-55.8961,19.99,19.99,19.99,73,0,2.06
67,Dano,BF,11.15,-3.0667,24.85,24.85,24.85,60,72,1.65
68,Pucallpa,PE,-8.3791,-74.5539,25.02,25.02,25.02,100,75,1.54
70,Ilebo,CD,-4.3167,20.5833,21.44,21.44,21.44,88,99,0.28
72,Cayenne,GF,4.9333,-52.3333,26.02,26.02,26.02,89,0,0.0
73,Parintins,BR,-2.6283,-56.7358,24.38,24.38,24.38,86,100,1.2
74,Vacaria,BR,-28.5122,-50.9339,10.93,10.93,10.93,98,1,1.55
76,Sinnamary,GF,5.3833,-52.95,26.34,26.34,26.34,88,72,5.04
80,Pelaya,CO,8.6882,-73.6645,23.29,23.29,23.29,97,100,1.03
81,Malakal,SS,9.5334,31.6605,23.58,23.58,23.58,85,29,0.45
83,Totness,SR,5.8833,-56.3167,26.62,26.62,26.62,85,57,5.0
84,Salinas,US,36.6777,-121.6555,13.17,14.48,11.42,71,0,5.66
85,Acaraú,BR,-2.8856,-40.12,25.63,25.63,25.63,78,0,5.47
86,Tumaco,CO,1.7986,-78.8156,24.06,24.06,24.06,83,72,1.57
88,Eha Amufu,NG,6.6592,7.7596,22.62,22.62,22.62,96,99,2.3
